freq_ghz,theta_deg,rcs_db
11.88888888888889,-29.0,3.6037855844087687
11.88888888888889,-28.0,1.941243862504576
11.88888888888889,-27.0,10.470076239143715
11.88888888888889,-26.0,6.582072835712549
11.88888888888889,-25.0,1.667025288121299
11.88888888888889,-24.0,9.736594283170076
11.88888888888889,-23.0,9.493388774511024
11.88888888888889,-22.0,2.184211792213124
11.88888888888889,-21.0,8.010252345828427
11.88888888888889,-20.0,11.963363167308282
11.88888888888889,-19.0,4.065812033210236
11.88888888888889,-18.0,6.695778745600684
11.88888888888889,-17.0,13.290909050292742
11.88888888888889,-16.0,6.609268201762327
11.88888888888889,-15.0,4.986993803157494
11.88888888888889,-14.0,13.227017325375531
11.88888888888889,-13.0,9.243718103470298
11.88888888888889,-12.0,4.418677771752224
11.88888888888889,-11.0,12.415399759591594
11.88888888888889,-10.0,11.689950267910664
11.88888888888889,-9.0,4.5631737896579025
11.88888888888889,-8.0,10.5219378443984
11.88888888888889,-7.0,13.963175342343487
11.88888888888889,-6.0,5.772956496330732
11.88888888888889,-5.0,8.460123555028058
11.88888888888889,-4.0,14.823892283721191
11.88888888888889,-3.0,7.569273579885539
11.88888888888889,-2.0,6.623759330597927
11.88888888888889,-1.0,14.757334223674825
11.88888888888889,0.0,9.901427395366445
11.88888888888889,1.0,5.376401200308998
11.88888888888889,2.0,13.268228003034004
11.88888888888889,3.0,12.135955692064792
11.88888888888889,4.0,4.919379363381091
11.88888888888889,5.0,11.038519294341434
11.88888888888889,6.0,13.771290412420342
11.88888888888889,7.0,5.389918648800558
11.88888888888889,8.0,8.769321637609139
11.88888888888889,9.0,14.452570887491063
11.88888888888889,10.0,6.827185387004253
11.88888888888889,11.0,6.146405848008171
11.88888888888889,12.0,13.879405121024652
11.88888888888889,13.0,8.704511092670058
11.88888888888889,14.0,4.323012957871831
11.88888888888889,15.0,12.271254897714526
11.88888888888889,16.0,10.461505161162272
11.88888888888889,17.0,3.2396700547855986
11.88888888888889,18.0,9.6072916773927
11.88888888888889,19.0,11.535965148030245
11.88888888888889,20.0,3.179065905406967
11.88888888888889,21.0,6.785408372687904
11.88888888888889,22.0,12.248755134643451
11.88888888888889,23.0,4.19900108207098
11.88888888888889,24.0,3.809515988997621
11.88888888888889,25.0,11.288457067063685
11.88888888888889,26.0,5.942552405588131
11.88888888888889,27.0,1.534449453602444
11.88888888888889,28.0,9.2943600427208
11.88888888888889,29.0,6.996202751290718
11.88888888888889,30.0,-0.1606445675892265
11.88888888888889,31.0,6.506127327171306
11.88888888888889,32.0,8.024373401707512
11.88888888888889,33.0,-0.5294906198611915
11.88888888888889,34.0,3.1578615682800204
11.88888888888889,35.0,8.14191806649308
11.88888888888889,36.0,0.3207372008424774
11.88888888888889,37.0,0.12051210662358525
11.88888888888889,38.0,7.308948193270434
11.88888888888889,39.0,1.4459697069513
11.88888888888889,40.0,-2.5864434613937424
11.88888888888889,41.0,5.1906419037115095
11.88888888888889,42.0,2.743750783055615
11.88888888888889,43.0,-4.241752015975353
11.88888888888889,44.0,2.2778779679060044
11.88888888888889,45.0,3.5173513526286397
11.88888888888889,46.0,-5.003783313245069
11.88888888888889,47.0,-1.098780360387428
11.88888888888889,48.0,3.8030124350755936
11.88888888888889,49.0,-4.346372264645454
11.88888888888889,50.0,-4.377497076365907
11.88888888888889,51.0,2.9154080593383482
11.88888888888889,52.0,-3.522480644221641
11.88888888888889,53.0,-6.999211144805578
11.88888888888889,54.0,0.8948261743637503
